Reference Year,Local government,Waste & Resource Recovery Group (WRRG),Annual tonnes Collected,Annual tonnes Collected.1,Annual tonnes  Processed / sorted,Annual tonnes Collected.2,Annual tonnes  Processed,Total Annual tonnes Collected,Total Annual Tonnes Processed / sorted
2007-2008,Whitehorse City Council,Metropolitan ," 28,057 "," 19,890 "," 18,219 "," 5,305 "," 5,305 "," 53,252 "," 23,524 "
2007-2008,Whittlesea City Council,Metropolitan ," 29,573 "," 14,089 "," 12,380 "," 2,084 "," 2,084 "," 45,747 "," 14,464 "
2007-2008,Wyndham City Council,Metropolitan ," 25,507 "," 14,267 "," 13,839 "," 2,522 "," 2,522 "," 42,296 "," 16,361 "
2007-2008,Yarra City Council,Metropolitan ," 12,441 "," 9,604 "," 9,149 ", 63 , 63 ," 22,108 "," 9,212 "
2007-2008,Yarra Ranges Shire Council,Metropolitan ," 25,987 "," 17,169 "," 13,550 "," 1,948 "," 1,948 "," 45,104 "," 15,498 "
2008-2009,Banyule City Council,Metropolitan ," 19,086 "," 15,923 "," 14,562 "," 8,438 "," 8,438 "," 43,447 "," 23,000 "
2008-2009,Bayside City Council,Metropolitan ," 19,360 "," 12,663 "," 12,284 "," 7,326 "," 7,326 "," 39,349 "," 19,610 "
2008-2009,Boroondara City Council,Metropolitan ," 35,723 "," 24,772 "," 24,184 "," 13,817 "," 13,817 "," 74,312 "," 38,001 "
2008-2009,Brimbank City Council,Metropolitan ," 36,868 "," 17,950 "," 15,222 "," 6,122 "," 6,122 "," 60,940 "," 21,344 "
2008-2009,Cardinia Shire Council,Metropolitan ," 13,870 "," 6,153 "," 5,378 "," 3,068 "," 3,068 "," 23,091 "," 8,446 "
2008-2009,Casey City Council,Metropolitan ," 45,873 "," 28,296 "," 26,052 "," 22,589 "," 19,329 "," 96,758 "," 45,381 "
2008-2009,Darebin City Council,Metropolitan ," 27,205 "," 16,075 "," 13,266 "," 6,964 "," 4,879 "," 50,244 "," 18,145 "
2008-2009,Frankston City Council,Metropolitan ," 21,517 "," 17,178 "," 15,504 "," 8,720 "," 8,720 "," 47,415 "," 24,224 "
2008-2009,Glen Eira City Council,Metropolitan ," 34,778 "," 14,206 "," 13,531 "," 3,954 "," 3,954 "," 52,938 "," 17,485 "
2008-2009,Greater Dandenong City Council,Metropolitan ," 26,981 "," 12,598 "," 10,529 "," 13,098 "," 11,950 "," 52,677 "," 22,479 "
2008-2009,Hobsons Bay City Council,Metropolitan ," 17,040 "," 10,577 "," 10,250 "," 4,481 "," 4,481 "," 32,098 "," 14,731 "
2008-2009,Hume City Council,Metropolitan ," 33,400 "," 15,895 "," 13,951 "," 3,815 "," 3,815 "," 53,110 "," 17,766 "
2008-2009,Kingston City Council,Metropolitan ," 27,552 "," 16,936 "," 16,089 "," 11,527 "," 11,527 "," 56,015 "," 27,616 "
2008-2009,Knox City Council,Metropolitan ," 25,989 "," 18,045 "," 17,213 "," 15,240 "," 15,240 "," 59,274 "," 32,453 "
2008-2009,Manningham City Council,Metropolitan ," 20,826 "," 14,072 "," 14,072 "," 13,607 "," 13,607 "," 48,504 "," 27,678 "
2008-2009,Maribyrnong City Council,Metropolitan ," 16,275 "," 7,625 "," 6,375 ", 255 , 255 ," 24,155 "," 6,630 "
2008-2009,Maroondah City Council,Metropolitan ," 18,714 "," 12,858 "," 12,177 "," 10,594 "," 10,594 "," 42,166 "," 22,771 "
2008-2009,Melbourne City Council,Metropolitan ," 22,115 "," 5,367 "," 4,831 ", 34 , 34 ," 27,517 "," 4,865 "
2008-2009,Melton Shire Council,Metropolitan ," 17,421 "," 9,551 "," 8,787 "," 2,789 "," 2,789 "," 29,761 "," 11,576 "
2008-2009,Monash City Council,Metropolitan ," 25,974 "," 18,322 "," 18,018 "," 17,463 "," 17,463 "," 61,759 "," 35,481 "
2008-2009,Moonee Valley City Council,Metropolitan ," 22,354 "," 12,149 "," 10,837 "," 6,270 "," 6,270 "," 40,773 "," 17,107 "
2008-2009,Moreland City Council,Metropolitan ," 28,317 "," 16,376 "," 14,902 "," 6,173 "," 6,173 "," 50,866 "," 21,075 "
2008-2009,Mornington Peninsula Shire Council,Metropolitan ," 25,800 "," 22,678 "," 20,410 ", 267 , 267 ," 48,745 "," 20,677 "
2008-2009,Nillumbik Shire Council,Metropolitan ," 7,067 "," 8,103 "," 7,455 "," 6,114 "," 2,998 "," 21,283 "," 10,453 "
2008-2009,Port Phillip City Council,Metropolitan ," 19,756 "," 12,402 "," 11,335 ", -   , -   ," 32,158 "," 11,335 "
2008-2009,Stonnington City Council,Metropolitan ," 22,684 "," 12,513 "," 12,086 "," 3,044 "," 3,044 "," 38,241 "," 15,130 "
2008-2009,Whitehorse City Council,Metropolitan ," 29,531 "," 19,106 "," 18,342 "," 7,315 "," 7,315 "," 55,952 "," 25,657 "
2008-2009,Whittlesea City Council,Metropolitan ," 29,931 "," 14,496 "," 12,919 "," 6,265 "," 6,265 "," 50,692 "," 19,184 "
2008-2009,Wyndham City Council,Metropolitan ," 27,872 "," 15,212 "," 14,056 "," 2,604 "," 2,604 "," 45,688 "," 16,660 "
2008-2009,Yarra City Council,Metropolitan ," 12,515 "," 9,314 "," 8,518 ", 188 , 188 ," 22,017 "," 8,706 "
2008-2009,Yarra Ranges Shire Council,Metropolitan ," 26,668 "," 17,144 "," 14,783 "," 4,537 "," 4,537 "," 48,349 "," 19,320 "
2009-2010,Banyule City Council,Metropolitan ," 19,900 "," 15,220 "," 13,919 "," 9,681 "," 9,681 "," 44,801 "," 23,600 "
2009-2010,Bayside City Council,Metropolitan ," 19,300 "," 13,408 "," 13,408 "," 8,021 "," 8,021 "," 40,729 "," 21,429 "
2009-2010,Boroondara City Council,Metropolitan ," 35,899 "," 23,382 "," 23,382 "," 15,646 "," 15,646 "," 74,928 "," 39,029 "
2009-2010,Brimbank City Council,Metropolitan ," 38,896 "," 17,492 "," 15,043 "," 6,512 "," 6,512 "," 62,900 "," 21,555 "
2009-2010,Cardinia Shire Council,Metropolitan ," 14,835 "," 5,764 "," 4,521 "," 3,886 "," 3,886 "," 24,486 "," 8,407 "
2009-2010,Casey City Council,Metropolitan ," 46,000 "," 26,298 "," 22,749 "," 28,207 "," 28,207 "," 100,505 "," 50,956 "
2009-2010,Darebin City Council,Metropolitan ," 25,990 "," 16,172 "," 13,633 "," 8,888 "," 8,888 "," 51,050 "," 22,521 "
2009-2010,Frankston City Council,Metropolitan ," 22,560 "," 16,392 "," 14,796 "," 9,715 "," 9,715 "," 48,668 "," 24,511 "
2009-2010,Glen Eira City Council,Metropolitan ," 34,192 "," 13,916 "," 13,499 "," 4,120 "," 4,120 "," 52,227 "," 17,618 "
2009-2010,Greater Dandenong City Council,Metropolitan ," 27,467 "," 12,611 "," 12,483 "," 15,394 "," 14,161 "," 55,472 "," 26,644 "
2009-2010,Hobsons Bay City Council,Metropolitan ," 17,530 "," 10,591 "," 10,263 "," 4,701 "," 4,701 "," 32,823 "," 14,965 "
2009-2010,Hume City Council,Metropolitan ," 35,200 "," 15,965 "," 13,864 "," 4,535 "," 4,535 "," 55,700 "," 18,399 "
2009-2010,Kingston City Council,Metropolitan ," 26,487 "," 17,103 "," 16,248 "," 13,653 "," 13,653 "," 57,244 "," 29,902 "
2009-2010,Knox City Council,Metropolitan ," 26,454 "," 17,367 "," 16,420 "," 17,824 "," 17,824 "," 61,645 "," 34,244 "
2009-2010,Manningham City Council,Metropolitan ," 21,576 "," 13,015 "," 13,015 "," 14,485 "," 14,485 "," 49,077 "," 27,501 "
2009-2010,Maribyrnong City Council,Metropolitan ," 22,000 "," 8,185 "," 6,467 "," 1,200 "," 1,100 "," 31,385 "," 7,567 "
2009-2010,Maroondah City Council,Metropolitan ," 19,371 "," 13,044 "," 12,352 "," 12,125 "," 12,125 "," 44,540 "," 24,477 "
2009-2010,Melbourne City Council,Metropolitan ," 23,146 "," 6,866 "," 6,184 ", 40 , 40 ," 30,052 "," 6,224 "
2009-2010,Melton Shire Council,Metropolitan ," 19,060 "," 10,191 "," 9,243 "," 3,860 "," 3,557 "," 33,110 "," 12,800 "
2009-2010,Monash City Council,Metropolitan ," 26,566 "," 18,509 "," 18,509 "," 20,334 "," 20,334 "," 65,409 "," 38,843 "
2009-2010,Moonee Valley City Council,Metropolitan ," 22,004 "," 13,792 "," 12,412 "," 6,849 "," 6,849 "," 42,645 "," 19,261 "
2009-2010,Moreland City Council,Metropolitan ," 28,139 "," 16,448 "," 16,448 "," 7,571 "," 7,571 "," 52,158 "," 24,019 "
2009-2010,Mornington Peninsula Shire Council,Metropolitan ," 27,168 "," 22,958 "," 22,958 ", 319 , 319 ," 50,445 "," 23,277 "
2009-2010,Nillumbik Shire Council,Metropolitan ," 6,362 "," 7,757 "," 7,136 "," 6,617 ", -   ," 20,736 "," 7,136 "
2009-2010,Port Phillip City Council,Metropolitan ," 20,104 "," 12,717 "," 12,373 ", -   , -   ," 32,821 "," 12,373 "
2009-2010,Stonnington City Council,Metropolitan ," 21,233 "," 12,506 "," 12,010 "," 3,441 "," 3,441 "," 37,180 "," 15,451 "
2009-2010,Whitehorse City Council,Metropolitan ," 30,799 "," 19,281 "," 17,508 "," 8,388 "," 8,388 "," 58,468 "," 25,896 "
2009-2010,Whittlesea City Council,Metropolitan ," 32,583 "," 15,607 "," 14,050 "," 8,000 "," 8,000 "," 56,190 "," 22,050 "
2009-2010,Wyndham City Council,Metropolitan ," 30,381 "," 15,533 "," 14,353 "," 1,806 "," 1,806 "," 47,720 "," 16,159 "
2009-2010,Yarra City Council,Metropolitan ," 13,623 "," 10,271 "," 9,821 ", 197 , 197 ," 24,091 "," 10,018 "
2009-2010,Yarra Ranges Shire Council,Metropolitan ," 27,298 "," 17,621 "," 15,594 "," 6,301 "," 6,301 "," 51,220 "," 21,895 "
2010-2011,Banyule City Council,Metropolitan ," 20,556 "," 15,097 "," 13,805 "," 12,684 "," 12,684 "," 48,337 "," 26,489 "
2010-2011,Bayside City Council,Metropolitan ," 19,800 "," 14,185 "," 14,185 "," 9,900 "," 9,900 "," 43,885 "," 24,085 "
2010-2011,Boroondara City Council,Metropolitan ," 36,223 "," 22,811 "," 22,811 "," 18,707 "," 18,707 "," 77,741 "," 41,518 "
2010-2011,Brimbank City Council,Metropolitan ," 40,116 "," 18,104 "," 15,388 "," 11,904 "," 11,904 "," 70,124 "," 27,292 "
2010-2011,Cardinia Shire Council,Metropolitan ," 14,746 "," 8,007 "," 6,630 "," 4,062 "," 4,062 "," 26,815 "," 10,692 "
2010-2011,Casey City Council,Metropolitan ," 50,047 "," 26,328 "," 24,484 "," 35,870 "," 35,870 "," 112,245 "," 60,354 "
2010-2011,Darebin City Council,Metropolitan ," 27,147 "," 16,085 "," 13,323 "," 11,748 "," 11,748 "," 54,980 "," 25,071 "
2010-2011,Frankston City Council,Metropolitan ," 23,454 "," 16,566 "," 13,497 "," 12,618 "," 12,618 "," 52,638 "," 26,115 "
2010-2011,Glen Eira City Council,Metropolitan ," 30,005 "," 14,663 "," 14,663 "," 8,055 "," 8,055 "," 52,723 "," 22,718 "
2010-2011,Greater Dandenong City Council,Metropolitan ," 29,086 "," 12,590 "," 11,960 "," 18,067 "," 16,779 "," 59,743 "," 28,739 "
2010-2011,Hobsons Bay City Council,Metropolitan ," 20,461 "," 9,739 "," 9,438 "," 7,775 "," 7,407 "," 37,975 "," 16,845 "
2010-2011,Hume City Council,Metropolitan ," 37,585 "," 16,704 "," 14,507 "," 6,178 "," 6,178 "," 60,467 "," 20,685 "
2010-2011,Kingston City Council,Metropolitan ," 29,212 "," 17,180 "," 16,321 "," 16,760 "," 12,502 "," 63,152 "," 28,823 "
2010-2011,Knox City Council,Metropolitan ," 27,099 "," 16,817 "," 15,320 "," 20,926 "," 20,926 "," 64,842 "," 36,246 "
2010-2011,Manningham City Council,Metropolitan ," 22,281 "," 13,594 "," 13,594 "," 17,223 "," 17,223 "," 53,097 "," 30,816 "
2010-2011,Maribyrnong City Council,Metropolitan ," 18,880 "," 8,155 "," 6,444 "," 1,375 "," 1,375 "," 28,410 "," 7,819 "
2010-2011,Maroondah City Council,Metropolitan ," 19,824 "," 12,485 "," 11,361 "," 14,938 "," 14,938 "," 47,247 "," 26,299 "
2010-2011,Melbourne City Council,Metropolitan ," 20,991 "," 7,303 "," 6,573 ", 53 , 53 ," 28,346 "," 6,626 "
2010-2011,Melton Shire Council,Metropolitan ," 20,002 "," 10,987 "," 10,519 "," 6,426 "," 6,011 "," 37,415 "," 16,530 "
2010-2011,Monash City Council,Metropolitan ," 27,960 "," 18,517 "," 17,777 "," 20,335 "," 20,335 "," 66,812 "," 38,112 "
2010-2011,Moonee Valley City Council,Metropolitan ," 22,326 "," 13,588 "," 12,230 "," 9,175 "," 9,175 "," 45,089 "," 21,405 "
2010-2011,Moreland City Council,Metropolitan ," 29,240 "," 16,273 "," 15,808 "," 9,647 "," 9,647 "," 55,160 "," 25,455 "
2010-2011,Mornington Peninsula Shire Council,Metropolitan ," 28,023 "," 23,000 "," 21,390 "," 1,636 "," 1,636 "," 52,659 "," 23,026 "
2010-2011,Nillumbik Shire Council,Metropolitan ," 6,684 "," 7,639 "," 6,723 "," 8,043 ", -   ," 22,366 "," 6,723 "
2010-2011,Port Phillip City Council,Metropolitan ," 21,518 "," 12,349 "," 10,991 ", -   , -   ," 33,867 "," 10,991 "
2010-2011,Stonnington City Council,Metropolitan ," 22,279 "," 12,646 "," 12,277 "," 4,610 "," 4,610 "," 39,535 "," 16,887 "
2010-2011,Whitehorse City Council,Metropolitan ," 31,260 "," 19,525 "," 17,885 "," 9,904 "," 9,904 "," 60,689 "," 27,789 "
2010-2011,Whittlesea City Council,Metropolitan ," 33,787 "," 16,362 "," 14,211 "," 10,747 "," 10,747 "," 60,895 "," 24,957 "
2010-2011,Wyndham City Council,Metropolitan ," 32,669 "," 16,536 "," 14,766 "," 5,675 "," 5,675 "," 54,880 "," 20,441 "
2010-2011,Yarra City Council,Metropolitan ," 14,359 "," 10,107 "," 9,617 ", 305 , 305 ," 24,771 "," 9,922 "
2010-2011,Yarra Ranges Shire Council,Metropolitan ," 27,976 "," 17,872 "," 15,685 "," 6,533 "," 6,533 "," 52,381 "," 22,218 "
2011-2012,Banyule City Council,Metropolitan ," 20,800 "," 14,581 "," 13,453 "," 12,716 "," 12,716 "," 48,097 "," 26,169 "
2011-2012,Bayside City Council,Metropolitan ," 19,900 "," 12,517 "," 12,517 "," 9,900 "," 9,900 "," 42,317 "," 22,417 "
2011-2012,Boroondara City Council,Metropolitan ," 36,310 "," 21,920 "," 21,920 "," 20,636 "," 20,636 "," 78,866 "," 42,556 "
2011-2012,Brimbank City Council,Metropolitan ," 40,659 "," 17,602 "," 15,314 "," 11,910 "," 11,910 "," 70,171 "," 27,224 "
2011-2012,Cardinia Shire Council,Metropolitan ," 15,191 "," 7,903 "," 7,903 "," 4,683 "," 4,683 "," 27,777 "," 12,586 "
2011-2012,Casey City Council,Metropolitan ," 47,310 "," 28,083 "," 26,000 "," 32,646 "," 32,646 "," 108,039 "," 58,646 "
2011-2012,Darebin City Council,Metropolitan ," 27,150 "," 15,869 "," 15,869 "," 11,708 "," 11,708 "," 54,727 "," 27,577 "
2011-2012,Frankston City Council,Metropolitan ," 23,952 "," 16,676 "," 15,257 "," 12,791 "," 12,791 "," 53,419 "," 28,048 "
2011-2012,Glen Eira City Council,Metropolitan ," 32,164 "," 14,454 "," 14,454 "," 8,296 "," 8,296 "," 54,914 "," 22,750 "
2011-2012,Greater Dandenong City Council,Metropolitan ," 29,784 "," 12,365 "," 11,747 "," 17,323 "," 16,020 "," 59,472 "," 27,767 "
2011-2012,Hobsons Bay City Council,Metropolitan ," 18,204 "," 10,300 "," 10,300 "," 8,297 "," 8,071 "," 36,801 "," 18,370 "
2011-2012,Hume City Council,Metropolitan ," 38,476 "," 16,641 "," 13,355 "," 6,558 "," 6,558 "," 61,675 "," 19,913 "
2011-2012,Kingston City Council,Metropolitan ," 29,489 "," 16,304 "," 15,425 "," 15,553 "," 14,942 "," 61,346 "," 30,367 "
2011-2012,Knox City Council,Metropolitan ," 27,909 "," 16,984 "," 15,811 "," 20,072 "," 20,072 "," 64,965 "," 35,883 "
2011-2012,Manningham City Council,Metropolitan ," 22,068 "," 13,508 "," 13,508 "," 16,808 "," 16,808 "," 52,384 "," 30,316 "
2011-2012,Maribyrnong City Council,Metropolitan ," 20,500 "," 6,373 "," 6,373 ", 500 , 490 ," 27,373 "," 6,863 "
2011-2012,Maroondah City Council,Metropolitan ," 19,344 "," 12,274 "," 11,529 "," 14,549 "," 14,549 "," 46,167 "," 26,078 "
2011-2012,Melbourne City Council,Metropolitan ," 20,885 "," 7,106 "," 6,426 ", 52 , 52 ," 28,043 "," 6,478 "
2011-2012,Melton Shire Council,Metropolitan ," 21,676 "," 11,082 "," 10,195 "," 6,062 "," 5,883 "," 38,820 "," 16,078 "
2011-2012,Monash City Council,Metropolitan ," 31,484 "," 17,838 "," 17,318 "," 21,643 "," 21,643 "," 70,965 "," 38,961 "
2011-2012,Moonee Valley City Council,Metropolitan ," 22,038 "," 16,079 "," 13,180 "," 8,791 "," 8,791 "," 46,908 "," 21,971 "
2011-2012,Moreland City Council,Metropolitan ," 30,000 "," 16,507 "," 14,178 "," 9,766 "," 9,766 "," 56,273 "," 23,944 "
2011-2012,Mornington Peninsula Shire Council,Metropolitan ," 29,432 "," 22,934 "," 22,934 "," 4,121 "," 4,121 "," 56,487 "," 27,055 "
2011-2012,Nillumbik Shire Council,Metropolitan ," 7,000 "," 7,615 "," 6,701 "," 7,373 ", -   ," 21,988 "," 6,701 "
2011-2012,Port Phillip City Council,Metropolitan ," 21,518 "," 13,105 "," 11,755 ", -   , -   ," 34,624 "," 11,755 "
2011-2012,Stonnington City Council,Metropolitan ," 21,829 "," 11,633 "," 11,284 "," 4,132 "," 4,132 "," 37,594 "," 15,416 "
2011-2012,Whitehorse City Council,Metropolitan ," 30,606 "," 19,611 "," 17,965 "," 13,035 "," 13,035 "," 63,252 "," 31,000 "
2011-2012,Whittlesea City Council,Metropolitan ," 33,935 "," 16,871 "," 14,728 "," 11,225 "," 11,225 "," 62,031 "," 25,953 "
2011-2012,Wyndham City Council,Metropolitan ," 37,202 "," 16,763 "," 16,543 "," 5,216 "," 5,216 "," 59,181 "," 21,758 "
2011-2012,Yarra City Council,Metropolitan ," 14,507 "," 9,492 "," 8,732 ", 303 , 303 ," 24,302 "," 9,035 "
2011-2012,Yarra Ranges Shire Council,Metropolitan ," 28,824 "," 18,468 "," 16,928 "," 8,708 "," 8,708 "," 56,000 "," 25,636 "
2012-2013,Banyule City Council,Metropolitan ," 20,520 "," 13,851 "," 12,919 "," 10,657 "," 10,657 "," 45,028 "," 23,576 "
2012-2013,Bayside City Council,Metropolitan ," 19,722 "," 12,488 "," 12,488 "," 9,535 "," 9,535 "," 41,745 "," 22,023 "
2012-2013,Boroondara City Council,Metropolitan ," 36,930 "," 20,897 "," 20,987 "," 19,188 "," 19,188 "," 77,015 "," 40,175 "
2012-2013,Brimbank City Council,Metropolitan ," 39,944 "," 16,346 "," 13,485 "," 9,921 "," 9,921 "," 66,211 "," 23,406 "
2012-2013,Cardinia Shire Council,Metropolitan ," 15,435 "," 8,434 "," 8,434 "," 4,870 "," 4,870 "," 28,739 "," 13,304 "
2012-2013,Casey City Council,Metropolitan ," 48,723 "," 26,907 "," 26,407 "," 29,647 "," 29,647 "," 105,277 "," 56,054 "
2012-2013,Darebin City Council,Metropolitan ," 26,611 "," 15,259 "," 15,259 "," 10,475 "," 10,475 "," 52,345 "," 25,734 "
2012-2013,Frankston City Council,Metropolitan ," 24,395 "," 16,008 "," 15,312 "," 12,381 "," 12,318 "," 52,784 "," 27,629 "
2012-2013,Glen Eira City Council,Metropolitan ," 26,968 "," 13,772 "," 13,772 "," 8,300 "," 8,300 "," 49,040 "," 22,072 "
2012-2013,Greater Dandenong City Council,Metropolitan ," 30,501 "," 11,784 "," 11,784 "," 15,100 "," 13,687 "," 57,385 "," 25,471 "
2012-2013,Hobsons Bay City Council,Metropolitan ," 17,970 "," 9,924 "," 9,924 "," 7,551 "," 7,168 "," 35,445 "," 17,091 "
2012-2013,Hume City Council,Metropolitan ," 39,093 "," 16,667 "," 14,734 "," 5,903 "," 5,903 "," 61,663 "," 20,637 "
2012-2013,Kingston City Council,Metropolitan ," 28,324 "," 15,207 "," 14,294 "," 14,348 "," 13,859 "," 57,879 "," 28,153 "
2012-2013,Knox City Council,Metropolitan ," 28,661 "," 16,433 "," 15,954 "," 18,135 "," 18,135 "," 63,229 "," 34,089 "
2012-2013,Manningham City Council,Metropolitan ," 21,729 "," 12,969 "," 12,969 "," 15,769 "," 15,769 "," 50,467 "," 28,738 "
2012-2013,Maribyrnong City Council,Metropolitan ," 19,499 "," 7,430 "," 7,430 "," 1,815 "," 1,700 "," 28,743 "," 9,130 "
2012-2013,Maroondah City Council,Metropolitan ," 19,297 "," 11,789 "," 10,633 "," 13,306 "," 13,306 "," 44,392 "," 23,939 "
2012-2013,Melbourne City Council,Metropolitan ," 21,362 "," 6,830 "," 5,553 ", 52 , 52 ," 28,245 "," 5,605 "
2012-2013,Melton Shire Council,Metropolitan ," 22,203 "," 11,059 "," 10,285 "," 5,628 "," 5,499 "," 38,890 "," 15,784 "
2012-2013,Monash City Council,Metropolitan ," 30,597 "," 16,533 "," 16,533 "," 19,377 "," 19,377 "," 66,507 "," 35,910 "
2012-2013,Moonee Valley City Council,Metropolitan ," 21,800 "," 14,030 "," 12,340 "," 7,836 "," 7,836 "," 43,666 "," 20,176 "
2012-2013,Moreland City Council,Metropolitan ," 31,587 "," 16,420 "," 13,922 "," 8,876 "," 8,276 "," 56,883 "," 22,198 "
2012-2013,Mornington Peninsula Shire Council,Metropolitan ," 29,689 "," 23,002 "," 23,002 "," 5,434 "," 5,434 "," 58,125 "," 28,436 "
2012-2013,Nillumbik Shire Council,Metropolitan ," 6,107 "," 7,406 "," 7,406 "," 7,699 ", -   ," 21,212 "," 7,406 "
2012-2013,Port Phillip City Council,Metropolitan ," 20,834 "," 12,074 "," 10,420 ", -   , -   ," 32,908 "," 10,420 "
2012-2013,Stonnington City Council,Metropolitan ," 19,697 "," 10,358 "," 10,265 "," 3,951 "," 3,951 "," 34,006 "," 14,216 "
2012-2013,Whitehorse City Council,Metropolitan ," 29,904 "," 18,139 "," 16,615 "," 10,183 "," 10,183 "," 58,226 "," 26,798 "
2012-2013,Whittlesea City Council,Metropolitan ," 34,332 "," 16,877 "," 14,463 "," 10,029 "," 10,029 "," 61,238 "," 24,492 "
2012-2013,Wyndham City Council,Metropolitan ," 37,470 "," 16,957 "," 16,957 "," 5,605 "," 5,605 "," 60,032 "," 22,562 "
2012-2013,Yarra City Council,Metropolitan ," 14,458 "," 9,023 "," 8,326 ", 304 , 304 ," 23,785 "," 8,630 "
2012-2013,Yarra Ranges Shire Council,Metropolitan ," 28,953 "," 17,227 "," 15,527 "," 8,219 "," 8,219 "," 54,399 "," 23,746 "
2013-2014,Banyule City Council,Metropolitan ," 20,181 "," 13,407 "," 12,443 "," 10,565 "," 10,565 "," 44,153 "," 23,008 "
2013-2014,Bayside City Council,Metropolitan ," 20,211 "," 11,604 "," 11,604 "," 10,178 "," 10,178 "," 41,993 "," 21,782 "
2013-2014,Boroondara City Council,Metropolitan ," 36,937 "," 20,902 "," 20,380 "," 20,309 "," 20,309 "," 78,148 "," 40,688 "
2013-2014,Brimbank City Council,Metropolitan ," 41,350 "," 15,673 "," 7,633 "," 10,822 "," 10,822 "," 67,845 "," 18,455 "
2013-2014,Cardinia Shire Council,Metropolitan ," 16,230 "," 8,432 "," 8,432 "," 5,363 "," 5,363 "," 30,026 "," 13,795 "
2013-2014,Casey City Council,Metropolitan ," 50,769 "," 26,722 "," 26,722 "," 32,134 "," 32,134 "," 109,625 "," 58,856 "
2013-2014,Darebin City Council,Metropolitan ," 24,633 "," 13,891 "," 13,891 "," 10,823 "," 10,823 "," 49,347 "," 24,714 "
2013-2014,Frankston City Council,Metropolitan ," 24,519 "," 15,763 "," 14,421 "," 13,499 "," 13,499 "," 53,781 "," 27,920 "
2013-2014,Glen Eira City Council,Metropolitan ," 26,223 "," 13,321 "," 13,321 "," 9,351 "," 9,351 "," 48,895 "," 22,672 "
2013-2014,Greater Dandenong City Council,Metropolitan ," 31,174 "," 11,758 "," 11,758 "," 14,815 "," 13,439 "," 57,747 "," 25,197 "
2013-2014,Hobsons Bay City Council,Metropolitan ," 18,565 "," 10,261 "," 9,899 "," 8,120 "," 8,005 "," 36,946 "," 17,905 "
2013-2014,Hume City Council,Metropolitan ," 40,766 "," 16,061 "," 14,419 "," 6,073 "," 6,073 "," 62,900 "," 20,492 "
2013-2014,Kingston City Council,Metropolitan ," 29,864 "," 15,398 "," 14,498 "," 14,830 "," 14,818 "," 60,092 "," 29,316 "
2013-2014,Knox City Council,Metropolitan ," 28,728 "," 17,082 "," 16,580 "," 19,157 "," 19,157 "," 64,967 "," 35,737 "
2013-2014,Manningham City Council,Metropolitan ," 21,443 "," 12,885 "," 12,885 "," 15,481 "," 15,481 "," 49,809 "," 28,366 "
2013-2014,Maribyrnong City Council,Metropolitan ," 17,253 "," 8,000 "," 8,000 "," 1,800 "," 1,800 "," 27,053 "," 9,800 "
2013-2014,Maroondah City Council,Metropolitan ," 19,790 "," 10,412 "," 10,412 "," 13,477 "," 13,477 "," 43,679 "," 23,889 "
2013-2014,Melbourne City Council,Metropolitan ," 24,556 "," 7,473 "," 6,457 ", 49 , 49 ," 32,078 "," 6,506 "
2013-2014,Melton Shire Council,Metropolitan ," 22,785 "," 11,277 "," 10,431 "," 5,870 "," 5,733 "," 39,932 "," 16,164 "
2013-2014,Monash City Council,Metropolitan ," 31,628 "," 16,676 "," 16,676 "," 20,437 "," 20,437 "," 68,741 "," 37,113 "
2013-2014,Moonee Valley City Council,Metropolitan ," 23,461 "," 12,077 "," 10,869 "," 6,849 "," 6,849 "," 42,387 "," 17,718 "
2013-2014,Moreland City Council,Metropolitan ," 32,571 "," 16,551 "," 14,136 "," 8,915 "," 8,747 "," 58,037 "," 22,883 "
2013-2014,Mornington Peninsula Shire Council,Metropolitan ," 30,947 "," 22,552 "," 22,552 "," 6,752 "," 6,752 "," 60,252 "," 29,305 "
2013-2014,Nillumbik Shire Council,Metropolitan ," 6,244 "," 7,694 "," 7,694 "," 7,135 "," 1,056 "," 21,073 "," 8,750 "
2013-2014,Port Phillip City Council,Metropolitan ," 21,404 "," 11,522 "," 10,255 ", -   , -   ," 32,926 "," 10,255 "
2013-2014,Stonnington City Council,Metropolitan ," 20,974 "," 10,236 "," 9,921 "," 3,780 "," 3,780 "," 34,990 "," 13,701 "
2013-2014,Whitehorse City Council,Metropolitan ," 28,763 "," 18,045 "," 16,529 "," 12,901 "," 12,901 "," 59,709 "," 29,430 "
2013-2014,Whittlesea City Council,Metropolitan ," 34,974 "," 17,565 "," 14,790 "," 11,338 "," 11,338 "," 63,877 "," 26,128 "
2013-2014,Wyndham City Council,Metropolitan ," 40,187 "," 17,440 "," 17,440 "," 6,666 "," 6,666 "," 64,293 "," 24,106 "
2013-2014,Yarra City Council,Metropolitan ," 15,338 "," 9,211 "," 8,502 ", 363 , 363 ," 24,912 "," 8,865 "
2013-2014,Yarra Ranges Shire Council,Metropolitan ," 29,390 "," 17,089 "," 15,005 "," 8,827 "," 8,827 "," 55,306 "," 23,832 "
2014-2015,Banyule City Council,Metropolitan ," 20,148 "," 12,901 "," 11,869 "," 9,494 "," 9,494 "," 42,543 "," 21,363 "
2014-2015,Bayside City Council,Metropolitan ," 20,219 "," 11,613 "," 11,613 "," 9,985 "," 9,985 "," 41,816 "," 21,597 "
